"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,4.54451094038677,87.2524430712431,3,27,0,30,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"uniform","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.1,2.72113446852525,74.2393668991621,0,9,3,9,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"uniform","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.01,4.54451094038677,87.2524430712431,0,0,3,0,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"uniform","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.001,4.54451094038677,87.2524430712431,0,0,3,0,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"uniform","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
Inf,3.8286039835114,64.3747550655153,3,27,0,30,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"biased","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.1,3.11820770457966,58.5764231864085,1,2,2,3,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"biased","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.01,3.3635974862274,57.5823196468239,1,0,2,1,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"biased","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
0.001,3.8286039835114,64.3747550655153,0,0,3,0,3,22.1643297001719,17.5637663668022,17.8968408470973,0.316918715310749,17.1630292013288,10.2452760608867,29.1343824611977,18.5480217915028,0.323209112044424,29.9593298090622,20.4804223170504,26.3178082183003,25.0436258455738,24.738868586719,11.3293880596757,26.5977412043139,25.894030672498,25.0799092836678,0.263823243835941,22.7948650904,16.4843052485958,21.9642210518941,28.9007348800078,20.7543380046263,11.2624667491764,19.9670866504312,17.0937676681206,15.6745019322261,21.2217947933823,22.8642291529104,"biased","linear","9e7360df-845b-456e-93c2-973567e0f142",30,30,1.22038637008518
Inf,1.33846426313691,136.816452394646,2,28,0,30,2,0.354782156168949,17.1842685341835,18.6363665852696,17.3093775240704,23.532828153111,19.169990113005,16.0830063605681,21.9682951364666,11.6723121935502,29.451073538512,18.0782396346331,13.0031430674717,17.9031384875998,20.9239629423246,23.1044191960245,26.4870325289667,23.6021163780242,15.8635870879516,22.5045467121527,29.1802177717909,19.2881661746651,20.0187146570534,0.259492387389764,20.5650566611439,28.6534321401268,24.9365529417992,25.9732411568984,18.6340624978766,13.9242323068902,29.213425796479,"uniform","linear","4c5c67f8-e48f-4e5a-ad88-bcef88a8ccbb",30,30,2.04077535087708
0.1,4.72112344199123,103.112072588691,0,1,2,1,2,0.354782156168949,17.1842685341835,18.6363665852696,17.3093775240704,23.532828153111,19.169990113005,16.0830063605681,21.9682951364666,11.6723121935502,29.451073538512,18.0782396346331,13.0031430674717,17.9031384875998,20.9239629423246,23.1044191960245,26.4870325289667,23.6021163780242,15.8635870879516,22.5045467121527,29.1802177717909,19.2881661746651,20.0187146570534,0.259492387389764,20.5650566611439,28.6534321401268,24.9365529417992,25.9732411568984,18.6340624978766,13.9242323068902,29.213425796479,"uniform","linear","4c5c67f8-e48f-4e5a-ad88-bcef88a8ccbb",30,30,2.04077535087708
