"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,2.07933336649188,158.82704629965,3,27,0,30,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"uniform","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.1,1.56820717271462,157.693174190023,2,6,1,8,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"uniform","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.01,1.56820717271462,153.791350474215,2,1,1,3,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"uniform","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.001,1.8113294936925,156.814369182377,1,0,2,1,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"uniform","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
Inf,1.94628245310393,219.738168695704,3,27,0,30,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"biased","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.1,3.35208163304564,220.58706954072,3,4,0,7,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"biased","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.01,3.39699065993909,217.668404628841,2,2,1,4,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"biased","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
0.001,1.31013402699742,216.496625419959,1,0,2,1,3,7.3610639187973,6.28286390798166,6.10113359172828,5.74035643483512,5.3800535085611,6.08936751494184,8.1383448431734,7.94550894410349,9.94778818567283,6.72655278467573,7.70244868122973,7.36025076592341,7.44996707304381,8.82487047230825,6.17351288674399,8.48018301301636,5.09152704849839,8.0845713976305,8.47394218551926,5.4034414619673,9.24763180897571,9.67255383962765,0.917378121893853,0.978026486421004,0.957132781622931,7.62982096173801,9.90818829741329,9.29357224609703,5.58139735017903,6.49558362551033,"biased","linear","43430047-606f-414d-875f-f840703d51ed",30,30,1.31299006566405
Inf,1.93904813681814,99.5120604248663,1,29,0,30,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"uniform","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
0.1,1.93904813681814,97.1516836116399,1,7,0,8,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"uniform","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
0.01,2.32953528598852,98.6964135191132,1,0,0,1,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"uniform","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
0.001,2.32953528598852,98.6964135191132,1,0,0,1,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"uniform","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
Inf,1.11472694945726,128.799277077387,1,29,0,30,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"biased","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
0.1,0.87657097180299,130.334622517329,1,5,0,6,1,8.21240807999857,7.61601406265981,8.91003018710762,7.71516639273614,5.44326938921586,9.80565478326753,7.34269800130278,6.424669228727,8.43551992904395,6.37425949214958,9.8827506089583,7.00144752161577,8.23095494532026,8.0444722820539,9.93438972509466,5.38375262753107,9.01080155628733,5.17029930255376,5.7643449457828,7.37465937621891,0.981219380954281,7.89402305847034,8.95028602331877,9.39688095008023,5.42771355016157,9.31562213576399,6.25784031697549,7.31810716562904,7.23939824267291,5.25030550779775,"biased","linear","09f321f1-a5d2-40a7-8d98-759a505c0a9a",30,30,1.0821841849247
