"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,5.78711218458764,144.952397527637,2,28,0,30,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"uniform","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.1,1.25219579747174,131.592157504765,1,5,1,6,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"uniform","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.01,5.78711218458764,144.952397527637,0,0,2,0,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"uniform","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.001,5.78711218458764,144.952397527637,0,0,2,0,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"uniform","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
Inf,8.75820379271121,120.56090802615,2,28,0,30,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"biased","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.1,9.14925132152504,113.288041288717,1,1,1,2,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"biased","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.01,3.90779599230978,111.519745334554,1,0,1,1,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"biased","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
0.001,8.75820379271121,120.56090802615,0,0,2,0,2,16.2151430733502,25.459407879971,25.8548479527235,0.16779162120074,28.533742222935,28.425245131366,14.8522822419181,19.5956713100895,22.0178234018385,17.6629345258698,26.4449813170359,27.9004034725949,22.7171529782936,20.4691338259727,15.242628226988,25.8029083255678,18.6469662841409,19.6394843468443,14.1163082467392,26.3450971990824,22.3992492631078,0.24685247206362,10.1647079270333,16.4272205391899,17.2829201817513,12.4785094941035,23.3979295566678,11.3061462016776,27.2180830035359,26.2209163513035,"biased","linear","6ef0846d-1d4c-4adf-a9f1-4c1efb458596",30,30,2.38388369686436
Inf,3.9114646786742,122.586209691137,3,27,0,30,3,12.2388230077922,13.2517369510606,10.4350082436576,10.2275261934847,10.470466800034,27.1997144538909,18.5741468798369,0.237845290650148,14.1266026627272,29.1592656355351,10.5346736032516,16.6307490691543,21.1229031020775,21.8084184546024,15.0619229953736,16.4542044652626,27.5802834238857,26.487382799387,15.7638760749251,25.8929129643366,23.8445543590933,0.104720029316377,15.5579013703391,29.5669298479334,12.6675792038441,0.13735527273966,22.1356663946062,28.3335118507966,17.4480737373233,24.2697014007717,"uniform","linear","760b40eb-de4b-4fc2-a519-d3817f34f215",30,30,1.61906406236812
0.1,6.72452710849653,101.082342203604,1,2,2,3,3,12.2388230077922,13.2517369510606,10.4350082436576,10.2275261934847,10.470466800034,27.1997144538909,18.5741468798369,0.237845290650148,14.1266026627272,29.1592656355351,10.5346736032516,16.6307490691543,21.1229031020775,21.8084184546024,15.0619229953736,16.4542044652626,27.5802834238857,26.487382799387,15.7638760749251,25.8929129643366,23.8445543590933,0.104720029316377,15.5579013703391,29.5669298479334,12.6675792038441,0.13735527273966,22.1356663946062,28.3335118507966,17.4480737373233,24.2697014007717,"uniform","linear","760b40eb-de4b-4fc2-a519-d3817f34f215",30,30,1.61906406236812
0.01,8.6544840660602,96.5618946097068,0,1,3,1,3,12.2388230077922,13.2517369510606,10.4350082436576,10.2275261934847,10.470466800034,27.1997144538909,18.5741468798369,0.237845290650148,14.1266026627272,29.1592656355351,10.5346736032516,16.6307490691543,21.1229031020775,21.8084184546024,15.0619229953736,16.4542044652626,27.5802834238857,26.487382799387,15.7638760749251,25.8929129643366,23.8445543590933,0.104720029316377,15.5579013703391,29.5669298479334,12.6675792038441,0.13735527273966,22.1356663946062,28.3335118507966,17.4480737373233,24.2697014007717,"uniform","linear","760b40eb-de4b-4fc2-a519-d3817f34f215",30,30,1.61906406236812
