"filter_threshold","min_distance","fit_distance","true_positives","false_positives","false_negatives","model_positives","real_positives","lengthscale_x1","lengthscale_x2","lengthscale_x3","lengthscale_x4","lengthscale_x5","lengthscale_x6","lengthscale_x7","lengthscale_x8","lengthscale_x9","lengthscale_x10","lengthscale_x11","lengthscale_x12","lengthscale_x13","lengthscale_x14","lengthscale_x15","lengthscale_x16","lengthscale_x17","lengthscale_x18","lengthscale_x19","lengthscale_x20","lengthscale_x21","lengthscale_x22","lengthscale_x23","lengthscale_x24","lengthscale_x25","lengthscale_x26","lengthscale_x27","lengthscale_x28","lengthscale_x29","lengthscale_x30","name","model","id","factors","model_size","amplitude"
Inf,0.653753613508157,22.506881273953,1,29,0,30,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"uniform","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.1,1.0193824616212,22.1113076389516,0,14,1,14,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"uniform","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.01,1.14219492972003,20.8754237359733,0,6,1,6,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"uniform","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.001,1.34243738068951,22.5154506164305,0,1,1,1,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"uniform","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
Inf,0.548356240612935,22.5903941620226,1,29,0,30,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"biased","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.1,0.589518924547642,23.8842026556724,0,5,1,5,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"biased","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.01,0.548356240612935,22.5903941620226,0,0,1,0,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"biased","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
0.001,0.548356240612935,22.5903941620226,0,0,1,0,1,5.7571902195923,9.52821966260672,9.34658959740773,6.52052286313847,6.66120857582428,6.42595733515918,5.8452552719973,6.17493298370391,7.68738521961495,8.59919104841538,6.04032142437063,5.64546238863841,7.58154250332154,8.85603457689285,7.79269351623952,9.01742056128569,7.54576660576276,7.16421826044098,6.27211292739958,9.08694611047395,5.73065747856162,5.7543163432274,8.46566323773004,5.92005387297831,8.49612085265107,1.02295278534293,6.65129406726919,6.31718369899318,8.78253241884522,7.81320503214374,"biased","linear","2f4b700c-332a-419c-87c6-55df79becb42",30,30,1.0731945290463
Inf,0,12.6380868963689,0,30,0,30,0,6.98138656793162,9.11894218530506,8.28959374106489,5.85706100100651,7.68714122357778,9.44909339072183,7.47758500860073,8.19947622832842,5.8910310966894,8.74089463846758,7.82632685848512,9.47773571009748,8.90983056160621,7.62928795651533,8.34564056596719,5.57598955114372,6.94863372249529,6.32105124765076,9.40285259275697,8.31295597250573,8.72124858433381,5.08254221989773,7.99573160824366,8.97278259275481,8.40488203684799,5.9838492248673,5.45410430175252,6.53432469582185,8.95411526085809,5.44245987315662,"uniform","linear","c146dae8-5262-4c3d-a23c-9b3121a67104",30,30,1.39369813119993
0.1,0.175916686581611,17.2969478871614,0,18,0,18,0,6.98138656793162,9.11894218530506,8.28959374106489,5.85706100100651,7.68714122357778,9.44909339072183,7.47758500860073,8.19947622832842,5.8910310966894,8.74089463846758,7.82632685848512,9.47773571009748,8.90983056160621,7.62928795651533,8.34564056596719,5.57598955114372,6.94863372249529,6.32105124765076,9.40285259275697,8.31295597250573,8.72124858433381,5.08254221989773,7.99573160824366,8.97278259275481,8.40488203684799,5.9838492248673,5.45410430175252,6.53432469582185,8.95411526085809,5.44245987315662,"uniform","linear","c146dae8-5262-4c3d-a23c-9b3121a67104",30,30,1.39369813119993
