"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30","Y"
0.887,-0.954,-0.9652,-0.9664,0.9642,-0.6482,0.8678,-0.805,-0.8988,0.9964,0.9946,0.9178,0.9096,-0.9734,-0.9988,-0.9824,-0.9614,0.7782,0.907,0.8868,0.901,0.7758,-0.9486,-0.8542,0.7576,0.973,-0.885,-0.3994,-0.7874,0.9172,27.0935892718191
0.798,-0.9746,-0.9714,-0.6434,0.997,-0.887,0.6884,-0.9782,0.8822,-0.9736,-0.9352,-0.9094,0.8798,-0.8702,-0.7034,-0.9904,0.723,-0.844,0.9454,-0.9858,-0.9714,-0.8476,-0.948,0.9492,0.5268,0.9698,0.8594,0.9742,0.9946,-0.8634,-44.1065194667167
-0.91,0.9306,0.88,-0.9832,0.9828,0.89,0.9856,0.874,0.882,-0.9894,-0.9266,0.8426,-0.994,0.9306,-0.67,-0.9574,-0.9248,0.9782,-0.7256,0.9638,-0.9422,-0.7146,-0.846,0.9888,-0.7398,-1,-0.8742,0.9268,-0.9224,-0.8198,3.41241675744666
0.8954,-0.8532,0.9198,-0.9942,-0.9978,0.8952,0.8088,-0.9778,-0.8762,-0.992,0.9906,-0.9424,0.7786,0.9608,-0.984,-0.794,-0.965,-0.9892,0.7574,0.9912,-0.9768,-0.9906,-0.9814,-0.941,-0.8606,0.97,0.8242,0.8178,-0.9442,-0.8704,-9.00688927044765
0.948,0.7602,-0.8314,-0.6284,-0.7472,0.9718,-0.983,-0.8884,0.9958,0.854,-0.9886,-0.8642,0.9946,0.9834,-0.8962,-0.884,0.832,0.7736,-0.966,0.9062,0.8224,-0.7364,-0.9618,-0.9718,-0.9922,-0.9856,-0.83,0.886,-0.7594,-0.973,-19.3799126140925
-0.9048,-0.856,-0.8816,0.9306,0.9802,-0.792,0.6954,0.9154,-0.8632,0.8108,-0.7324,0.7982,-0.9248,0.8362,0.9512,0.9994,0.8954,0.9016,0.9172,0.9436,-0.8816,0.8204,-0.9534,0.5048,-0.613,0.7392,-0.989,0.8764,0.9592,-0.9866,-20.8706341524326
-0.9868,-0.7046,-0.9906,0.958,-0.9654,-0.732,-0.9458,-0.9666,0.891,-0.945,0.9654,-0.7498,0.9664,0.9966,0.8912,-0.7616,0.988,0.9066,-0.933,-0.7176,0.6052,-0.8572,-0.99,0.8696,-0.9192,-0.9392,0.9014,-0.7226,-0.918,0.8242,20.9035673441174
0.9574,0.9844,-0.739,0.9866,-0.8098,0.8688,0.9226,-0.8454,-0.8932,0.8974,0.9324,-0.889,0.8998,0.9314,0.806,-0.9068,-0.918,0.9892,0.9624,-0.7174,-0.9454,0.9722,-0.8312,0.6528,-0.6758,-0.986,-0.831,-0.99,0.99,0.8906,-4.98553949322267
0.8182,0.8604,0.8444,-0.8944,-0.9978,-0.8934,0.882,0.8988,-0.7208,0.7472,-0.9746,0.9848,0.87,-0.977,-0.896,-0.9864,-0.9352,-0.962,-0.8292,-0.9768,-0.9628,-0.5822,0.9972,0.945,-0.9944,0.9302,0.6836,-0.8746,0.8904,0.9866,-22.0201331510836
0.9956,-0.9336,0.8582,-0.9576,0.9192,0.9286,0.9954,-0.8998,0.979,0.9408,-0.9458,-0.861,-0.8446,0.9806,-0.9212,0.959,-0.9538,0.563,0.9612,0.9192,0.9284,-0.972,0.9472,0.9128,-0.9956,-0.9962,0.9746,-0.9042,0.9038,-0.9962,-7.22529318106213
-0.9866,0.9744,0.6376,-0.8864,-0.9384,0.8432,0.7712,-0.8254,-0.96,-0.967,-0.987,0.7854,0.9324,-0.7422,0.703,0.927,0.9808,0.9774,-0.9114,0.7642,0.9484,-0.934,-0.95,-0.978,-0.9354,0.858,0.753,-0.8866,0.8368,-0.799,-22.4393116650203
0.948,-0.892,0.9826,-0.9892,-0.9214,0.9634,0.9368,-0.9456,-0.959,0.8386,-0.8956,-0.7314,-0.9702,-0.9992,0.9874,-0.9244,-0.8516,-0.8808,-0.8738,-0.9726,-0.7198,0.7458,-0.996,-0.95,-0.9498,-0.8434,-0.9826,-0.9114,0.8924,-0.8822,-20.0067039371285
0.9888,0.9206,-0.791,-0.9928,-0.7974,0.9598,-0.989,0.9824,-0.597,-0.8124,-0.4316,-0.9388,-0.9194,-0.8418,-0.9884,0.95,-0.988,0.9902,-0.9498,-0.9702,-0.9436,-0.9652,-0.8812,0.8922,0.9604,-0.9236,0.8418,0.9778,-0.8852,0.8366,-37.0812738635577
