"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30"
0.923,0.8328,-0.959,0.0900000000000001,0.86,-0.1428,-0.9188,0.924,0.8968,-0.0344,-0.7114,-0.8922,-0.0232,0.917,-0.9904,-0.0688,0.0170000000000001,0.0856000000000001,0.963,-0.0658,0.795,-0.0549999999999999,0.8596,-0.974,-0.0801999999999999,0.8196,0.7554,0.0466,0.9992,-0.6776
0.9904,-0.884,0.0278,0.9974,0.8574,-0.0885999999999999,-0.844,0.00940000000000007,0.9418,0.5988,-0.9492,-0.0284,-0.9708,-0.8176,-0.1486,-0.9822,-0.7922,-0.9696,0.9984,-0.7042,0.0444,0.144,-0.9634,0.8092,-0.9544,-0.0135999999999999,-0.8522,0.8626,0.8932,0.1126
0.0510000000000002,0.9906,0.0212000000000001,0.8966,0.9752,0.7818,-0.8956,-0.0781999999999999,0.0742,0.8922,0.9944,-0.9106,-0.9568,-0.9246,0.7434,-0.8604,-0.001,0.9124,-0.9386,0.7386,-0.1282,0.8342,0.8166,-0.8774,0.8968,-0.9846,0.9924,0.7876,0.7032,-0.8872
0.9816,0.1938,0.00619999999999998,-0.9074,-0.9792,0.1146,-0.112,-0.9606,0.9432,-0.9264,0.9956,-0.1552,-0.9226,0.9832,-0.9642,0.022,-0.8516,-0.0327999999999999,-0.0496,0.8358,-0.966,0.0342,0.0442,0.0150000000000001,0.9976,0.86,-0.9966,0.0244,0.0582,-0.0175999999999999
-0.9234,0.9956,-0.0706,0.0294000000000001,0.00360000000000005,-0.1068,0.1034,0.8014,-0.9654,0.9654,-0.916,-0.8814,-0.00519999999999998,-0.1536,-0.9952,-0.9454,-0.8768,0.1248,-0.6358,0.7346,-0.00779999999999992,-0.603,0.8122,0.9482,0.8262,0.0442,0.9096,-0.122,0.0264,0.0652000000000001
-0.9394,0.0474000000000001,-0.9116,-0.6172,-0.0416,-0.759,0.0820000000000001,0.077,-0.0506,0.875,-0.981,-0.9892,-0.1354,-0.1032,-0.8176,0.8932,0.9948,-0.8786,-0.5606,0.7682,-0.9494,0.0530000000000002,0.218,-0.9864,0.998,0.942,0.0668,0.9516,-0.9596,0.9368
-0.1646,-0.9048,0.9738,-0.0511999999999999,-0.8222,-0.00559999999999994,0.05,-0.9926,-0.6776,0.9458,-0.9578,0.9792,0.982,0.996,0.0354000000000001,-0.9352,-0.847,-0.7872,-0.0132,-0.9766,0.868,0.0204,-0.0144,-0.8382,0.0572000000000001,-0.811,0.1752,0.377,0.7182,0.8732
-0.1554,0.9946,0.7458,-0.9356,-0.6304,0.0436000000000001,-0.0359999999999999,0.925,-0.7544,-0.9342,-0.0249999999999999,0.0367999999999999,0.0994000000000002,0.1508,0.0588,0.99,0.0448,-0.5536,-0.0234,0.9092,0.9454,-0.0464,0.0214000000000001,0.1672,-0.00159999999999993,0.0742,-0.9706,0.921,-0.9326,0.693
-0.9506,-0.8976,0.0638000000000001,-0.9704,0.8386,0.0307999999999999,0.0452000000000001,-0.0162,-0.00359999999999994,0.914,-0.9628,0.0112000000000001,0.7498,0.8434,-0.0456,0.8964,0.075,-0.9728,0.8838,0.9152,0.8364,-0.998,0.0664,-0.0911999999999999,0.0358000000000001,-0.9438,-0.8004,-0.0202,-0.0376,0.9714
0.962,0.9876,-0.189,0.7926,0.103,0.9178,0.0828,0.0840000000000001,0.8686,-0.0334,-0.0397999999999999,-0.9924,-0.757,0.9236,0.0092000000000001,-0.783,0.7256,0.0570000000000002,0.1046,0.9666,-0.7062,0.9814,0.9516,-0.9318,-0.0661999999999999,0.999,-0.202,-0.0444,-0.0551999999999999,-0.8702
-0.9618,0.937,0.0304,0.8782,-0.991,0.9978,0.0928,0.0356000000000001,-0.9604,0.0302,-0.8616,-0.979,-0.8728,0.912,-0.9972,-0.0409999999999999,0.8462,-0.782,0.0510000000000002,0.0112000000000001,-0.0296,-0.9358,-0.9388,0.1386,0.0268000000000002,-0.0394,0.7294,-0.6832,0.9882,0.9996
0.1742,0.7962,-0.154,0.0900000000000001,-0.999,0.989,-0.0394,-0.8608,-0.0217999999999999,-0.7686,-0.9726,-0.0294,-0.9634,-0.9774,-0.9956,0.00700000000000012,0.9966,-0.7904,0.00680000000000014,0.8436,0.0976000000000001,0.0162,-0.0781999999999999,0.7316,-0.9796,0.9716,-0.6564,0.8458,-0.0489999999999999,-0.69
-0.834,0.9964,-0.1134,-0.0154,0.9406,0.9036,0.1776,-0.0728,0.032,0.9832,0.7616,0.0948,0.028,0.9192,0.0174000000000001,0.9186,0.1466,-0.9458,0.999,-0.9552,-0.8844,-0.0968,-0.0441999999999999,0.9308,0.0926,-0.9124,0.9864,-0.8424,-0.838,0.0486
0.888,-0.8422,-0.0254,0.0270000000000001,-0.773,-0.0202,-0.9978,-0.1106,-0.999,-0.6076,0.753,0.0412000000000001,0.9516,0.9608,-0.8958,-0.9328,-0.9806,0.0686,0.9194,-0.8994,0.8274,-0.8016,-0.8486,-0.8946,-0.8746,0.9836,-0.0426,0.5238,-0.0389999999999999,0.9678
0.9868,0.8958,0.1858,-0.9816,-0.1492,0.8022,-0.7908,0.9854,0.1594,-0.8642,-0.9038,0.9466,0.0294000000000001,0.0952,-0.0434,0.9966,-0.001,0.8764,-0.0488,0.8694,-0.0935999999999999,0.9344,0.0224,0.8738,-0.0286,0.7916,0.9742,-0.0751999999999999,-0.000399999999999956,-0.8858
-0.845,0.9712,-0.1094,0.9736,-0.8836,-0.0411999999999999,-0.9542,-0.9186,-0.8906,0.1156,0.0364,-0.00139999999999996,0.9516,0.8712,0.994,0.9674,0.6482,0.0788,0.0669999999999999,0.9816,-0.0169999999999999,-0.0377999999999999,0.7942,0.7774,-0.9798,-0.9766,-0.1624,-0.9122,-0.07,-0.0604
0.9542,0.6626,0.95,0.0548,-0.9624,-0.9752,-0.1034,-0.0312,0.0296000000000001,-0.6226,-0.9854,0.7678,-0.0688,-0.829,-0.9356,0.716,0.8666,-0.1898,-0.0506,-0.9532,0.7954,0.8632,0.917,0.052,-0.9002,-0.8102,0.1238,0.968,-0.6594,-0.1756
-0.8232,-0.0376,0.9992,-0.7362,0.8062,0.906,-0.1328,-0.1088,-0.8118,0.9104,0.0370000000000001,0.8174,-0.0124,-0.8074,-0.9882,0.1124,-0.0387999999999999,0.0818000000000001,-0.7438,-0.7634,0.1294,0.1512,-0.0883999999999999,0.776,0.9328,0.9132,-0.9334,0.6304,0.923,-0.8178
-0.9732,-0.0234,0.1188,-0.922,0.9374,-0.6702,0.9672,0.9952,0.8588,-0.9776,0.0278,0.9074,0.9938,0.0756000000000001,0.88,-0.7146,-0.0132,0.1068,0.7312,-0.1512,0.9512,0.9566,0.9406,0.8992,0.014,0.6978,-0.9332,0.9574,-0.0262,0.0072000000000001
-0.0973999999999999,-0.9154,-0.889,0.9958,-0.7738,0.729,0.0284,-0.0466,-0.9328,0.97,-0.184,-0.9318,-0.1076,-0.1916,0.8982,-0.6574,-0.8704,0.885,0.9966,-0.8998,-0.9396,-0.447,-0.0359999999999999,-0.0781999999999999,-0.996,0.0518000000000001,0.0624,0.9398,0.0694000000000001,0.7626
0.9662,-0.842,0.8128,0.6848,0.9554,-0.979,-0.9568,-0.994,0.0168000000000001,0.9362,-0.1402,0.0272000000000001,0.0508,-0.00539999999999996,0.9282,-0.9748,-0.0496,0.7616,-0.9656,0.0276000000000001,0.9592,0.887,-0.7004,-0.0206,0.024,0.9692,0.8142,0.1572,0.0598000000000001,0.6686
0.941,-0.5012,0.142,-0.9828,0.0316000000000001,0.9546,-0.618,-0.1132,0.0174000000000001,-0.0711999999999999,0.9416,0.9912,0.9328,-0.8988,-0.0369999999999999,-0.8758,-0.6412,0.9156,0.856,0.8304,0.0092000000000001,-0.8454,-0.9712,0.9172,0.1002,-0.988,-0.074,0.00680000000000014,-0.9958,-0.0356
-0.824,0.1192,0.00380000000000003,0.0390000000000001,0.9634,-0.00659999999999994,0.9798,0.8012,0.9878,-0.0911999999999999,-0.8172,-0.0132,-0.9822,-0.0678,0.6628,-0.8152,-0.9994,0.9762,0.0656000000000001,0.9586,0.9378,-0.9222,-0.9858,0.026,0.4674,-0.00900000000000001,-0.1066,0.9466,0.0546,0.0324
-0.0973999999999999,0.8574,-0.0604,0.9478,0.9882,-0.9664,-0.922,0.9188,-0.0404,0.0407999999999999,-0.0601999999999999,-0.9698,0.8792,0.8904,0.8154,-0.9014,0.0185999999999999,0.9016,-0.9308,-0.9724,-0.0239999999999999,-0.0851999999999999,0.9086,-0.9102,-0.8918,0.9638,-0.832,-0.8732,0.9974,0.0856000000000001
