"x1","x2","x3","x4","x5","x6","x7","x8","x9","x10","x11","x12","x13","x14","x15","x16","x17","x18","x19","x20","x21","x22","x23","x24","x25","x26","x27","x28","x29","x30"
0.0514000000000001,0.7996,-0.9108,0.8496,-0.0429999999999999,-0.8188,-0.2122,0.958,0.0609999999999999,0.9762,-0.646,-0.893,-0.8304,-0.884,-0.0753999999999999,0.907,-0.094,0.9992,-0.9274,-0.8726,-0.1362,-0.0983999999999999,-0.9084,-0.00619999999999998,-0.9254,-0.9504,0.9618,-0.8628,-0.9954,-0.0564
-0.9986,0.6914,-0.1726,-0.0566,-0.5482,-0.985,0.7566,-0.9918,-0.0836,-0.0853999999999999,-0.9446,0.0394000000000001,0.999,0.1814,-0.1466,0.8062,0.731,-0.121,-0.922,-0.0414,0.9806,-0.7812,0.7372,0.8592,-0.6922,-0.8262,0.9596,0.0350000000000001,0.0182,0.9868
-0.8238,-0.1182,0.0966,0.9588,-0.913,-0.9418,-0.9968,-0.8432,-0.9436,0.8614,-0.1122,0.8782,0.9268,0.0242,-0.9956,0.0530000000000002,-0.1502,0.0144,-0.0952,-0.5364,0.9698,0.9698,-0.975,0.1316,-0.9736,0.0774000000000001,-0.8946,0.82,-0.1404,-0.1144
-0.902,0.1172,-0.9944,-0.757,-0.9972,0.8668,-0.0898,0.1138,0.0284,0.8802,0.9616,0.262,-0.7524,-0.9594,0.945,-0.9552,0.00839999999999996,-0.1654,-0.848,-0.94,-0.9006,-0.9098,0.9086,-0.0144,-0.9366,0.0552000000000001,0.0376000000000001,0.0152000000000001,0.8956,0.1084
-0.1068,0.0274000000000001,-0.0429999999999999,-0.684,-0.75,0.012,0.9992,-0.00719999999999998,-0.9368,0.9266,0.8912,0.0266,-0.7928,0.014,-0.7942,-0.0948,0.0506,-0.6778,0.9458,0.7762,0.8404,0.00639999999999996,-0.0149999999999999,0.9488,0.7794,-0.8428,-0.1188,-0.9904,0,-0.8496
0.8524,0.9664,-0.0945999999999999,-0.9612,-0.8746,-0.5956,-0.0377999999999999,0.938,0.9474,-0.9478,0.1156,0.9848,0.992,0.0298,0.9872,0.1552,0.9752,-0.9776,-0.9918,0.8786,0.052,-0.5804,0.9748,-0.0127999999999999,0.9292,-0.00179999999999991,0.7454,-0.959,0.8548,0.8368
-0.9624,-0.9268,0.9954,0.1458,0.0602,0.999,0.0780000000000001,-0.8924,-0.0105999999999999,-0.8022,0.9632,0.0586,-0.9146,0.00940000000000007,0.0842000000000001,-0.0459999999999999,-0.9962,-0.0266,-0.9626,-0.9478,-0.00539999999999996,0.7456,-0.0426,0.9148,-0.9614,-0.9472,-0.0222,0.9348,-0.7882,0.6572
0.0156000000000001,0.0906,-0.933,0.878,-0.606,-0.0197999999999999,-0.9142,-0.0282,0.924,0.8038,0.167,0.847,0.9872,0.5048,-0.0836,-0.9556,-0.0169999999999999,0.7024,-0.8158,0.9654,0.95,-0.7564,0.885,-0.0496,0.951,0.9964,0.8874,0.4884,0.0538000000000001,0.8734
0.8204,-0.8632,-0.8758,-0.9822,-0.0731999999999999,-0.7354,0.8472,-0.9924,-0.1262,0.0794000000000001,-0.8792,0.8348,0.8826,-0.9894,-0.0968,0.0706,-0.085,0.9776,-0.0124,0.8292,0.8484,-0.079,0.9144,-0.98,-0.0596,-0.00900000000000001,-0.9598,-0.0928,-0.892,-0.0134
1,0.0128000000000001,0.9144,0.743,-0.935,-0.00900000000000001,0.8406,-0.9666,0.9284,0.0612000000000001,-0.9408,0.0702,-0.1156,-0.0818,-0.9866,-0.073,-0.0588,-0.9894,-0.784,-0.8972,0.0410000000000001,-0.0247999999999999,0.776,-0.00739999999999996,-0.0796,0.9298,-0.0576,0.0264,-0.0629999999999999,0.9904
0.0448,-0.887,0.00639999999999996,0.961,-0.7142,-0.0152,0.996,0.7122,0.9658,-0.0978,0.097,-0.0594,-0.9798,0.8296,0.9804,0.7766,0.0891999999999999,0.9932,-0.9718,-0.9604,0.00140000000000007,-0.7748,0.0576000000000001,-0.145,-0.1054,-0.0224,0.1488,0.9826,0.865,0.046
